class,image_name,mask_name
Cheops,image_00055_img.jpg,image_00055_layer.jpg
Cheops,image_00162_img.jpg,image_00162_layer.jpg
Cheops,image_00460_img.jpg,image_00460_layer.jpg
Cheops,image_00765_img.jpg,image_00765_layer.jpg
Cheops,image_00827_img.jpg,image_00827_layer.jpg
Cheops,image_00970_img.jpg,image_00970_layer.jpg
Cheops,image_01435_img.jpg,image_01435_layer.jpg
Cheops,image_01450_img.jpg,image_01450_layer.jpg
Cheops,image_01790_img.jpg,image_01790_layer.jpg
Cheops,image_01828_img.jpg,image_01828_layer.jpg
Cheops,image_02293_img.jpg,image_02293_layer.jpg
Cheops,image_02413_img.jpg,image_02413_layer.jpg
Cheops,image_03180_img.jpg,image_03180_layer.jpg
Cheops,image_03530_img.jpg,image_03530_layer.jpg
Cheops,image_03580_img.jpg,image_03580_layer.jpg
Cheops,image_04735_img.jpg,image_04735_layer.jpg
Cheops,image_04947_img.jpg,image_04947_layer.jpg
Cheops,image_05434_img.jpg,image_05434_layer.jpg
Cheops,image_05455_img.jpg,image_05455_layer.jpg
Cheops,image_05795_img.jpg,image_05795_layer.jpg
Cheops,image_06049_img.jpg,image_06049_layer.jpg
Cheops,image_06109_img.jpg,image_06109_layer.jpg
Cheops,image_06402_img.jpg,image_06402_layer.jpg
Cheops,image_06488_img.jpg,image_06488_layer.jpg
Cheops,image_06516_img.jpg,image_06516_layer.jpg
Cheops,image_06532_img.jpg,image_06532_layer.jpg
Cheops,image_06540_img.jpg,image_06540_layer.jpg
Cheops,image_06920_img.jpg,image_06920_layer.jpg
Cheops,image_06932_img.jpg,image_06932_layer.jpg
Cheops,image_07002_img.jpg,image_07002_layer.jpg
Cheops,image_07012_img.jpg,image_07012_layer.jpg
Cheops,image_07151_img.jpg,image_07151_layer.jpg
Cheops,image_07230_img.jpg,image_07230_layer.jpg
Cheops,image_07918_img.jpg,image_07918_layer.jpg
Cheops,image_08024_img.jpg,image_08024_layer.jpg
Cheops,image_08121_img.jpg,image_08121_layer.jpg
Cheops,image_08212_img.jpg,image_08212_layer.jpg
Cheops,image_09030_img.jpg,image_09030_layer.jpg
Cheops,image_09304_img.jpg,image_09304_layer.jpg
Cheops,image_09541_img.jpg,image_09541_layer.jpg
LisaPathfinder,image_00013_img.jpg,image_00013_layer.jpg
LisaPathfinder,image_00053_img.jpg,image_00053_layer.jpg
LisaPathfinder,image_00495_img.jpg,image_00495_layer.jpg
LisaPathfinder,image_00498_img.jpg,image_00498_layer.jpg
LisaPathfinder,image_00517_img.jpg,image_00517_layer.jpg
LisaPathfinder,image_00548_img.jpg,image_00548_layer.jpg
LisaPathfinder,image_00561_img.jpg,image_00561_layer.jpg
LisaPathfinder,image_00886_img.jpg,image_00886_layer.jpg
LisaPathfinder,image_01279_img.jpg,image_01279_layer.jpg
LisaPathfinder,image_01456_img.jpg,image_01456_layer.jpg
LisaPathfinder,image_01632_img.jpg,image_01632_layer.jpg
LisaPathfinder,image_01753_img.jpg,image_01753_layer.jpg
LisaPathfinder,image_02344_img.jpg,image_02344_layer.jpg
LisaPathfinder,image_02500_img.jpg,image_02500_layer.jpg
LisaPathfinder,image_02712_img.jpg,image_02712_layer.jpg
LisaPathfinder,image_02801_img.jpg,image_02801_layer.jpg
LisaPathfinder,image_03487_img.jpg,image_03487_layer.jpg
LisaPathfinder,image_03992_img.jpg,image_03992_layer.jpg
LisaPathfinder,image_04328_img.jpg,image_04328_layer.jpg
LisaPathfinder,image_04371_img.jpg,image_04371_layer.jpg
LisaPathfinder,image_04390_img.jpg,image_04390_layer.jpg
LisaPathfinder,image_04585_img.jpg,image_04585_layer.jpg
LisaPathfinder,image_04608_img.jpg,image_04608_layer.jpg
LisaPathfinder,image_04688_img.jpg,image_04688_layer.jpg
LisaPathfinder,image_04704_img.jpg,image_04704_layer.jpg
LisaPathfinder,image_05089_img.jpg,image_05089_layer.jpg
LisaPathfinder,image_05092_img.jpg,image_05092_layer.jpg
LisaPathfinder,image_05113_img.jpg,image_05113_layer.jpg
LisaPathfinder,image_05771_img.jpg,image_05771_layer.jpg
LisaPathfinder,image_06900_img.jpg,image_06900_layer.jpg
LisaPathfinder,image_06990_img.jpg,image_06990_layer.jpg
LisaPathfinder,image_07248_img.jpg,image_07248_layer.jpg
LisaPathfinder,image_07421_img.jpg,image_07421_layer.jpg
LisaPathfinder,image_07466_img.jpg,image_07466_layer.jpg
LisaPathfinder,image_07912_img.jpg,image_07912_layer.jpg
LisaPathfinder,image_08129_img.jpg,image_08129_layer.jpg
LisaPathfinder,image_08934_img.jpg,image_08934_layer.jpg
LisaPathfinder,image_09307_img.jpg,image_09307_layer.jpg
LisaPathfinder,image_09372_img.jpg,image_09372_layer.jpg
LisaPathfinder,image_09502_img.jpg,image_09502_layer.jpg
ObservationSat1,image_01636_img.jpg,image_01636_layer.jpg
ObservationSat1,image_01682_img.jpg,image_01682_layer.jpg
ObservationSat1,image_01899_img.jpg,image_01899_layer.jpg
ObservationSat1,image_02043_img.jpg,image_02043_layer.jpg
ObservationSat1,image_02209_img.jpg,image_02209_layer.jpg
ObservationSat1,image_02313_img.jpg,image_02313_layer.jpg
ObservationSat1,image_02476_img.jpg,image_02476_layer.jpg
ObservationSat1,image_02581_img.jpg,image_02581_layer.jpg
ObservationSat1,image_02669_img.jpg,image_02669_layer.jpg
ObservationSat1,image_03036_img.jpg,image_03036_layer.jpg
ObservationSat1,image_03097_img.jpg,image_03097_layer.jpg
ObservationSat1,image_03155_img.jpg,image_03155_layer.jpg
ObservationSat1,image_03328_img.jpg,image_03328_layer.jpg
ObservationSat1,image_04277_img.jpg,image_04277_layer.jpg
ObservationSat1,image_04598_img.jpg,image_04598_layer.jpg
ObservationSat1,image_04635_img.jpg,image_04635_layer.jpg
ObservationSat1,image_04703_img.jpg,image_04703_layer.jpg
ObservationSat1,image_05463_img.jpg,image_05463_layer.jpg
ObservationSat1,image_05545_img.jpg,image_05545_layer.jpg
ObservationSat1,image_05617_img.jpg,image_05617_layer.jpg
ObservationSat1,image_05667_img.jpg,image_05667_layer.jpg
ObservationSat1,image_05901_img.jpg,image_05901_layer.jpg
ObservationSat1,image_05969_img.jpg,image_05969_layer.jpg
ObservationSat1,image_06524_img.jpg,image_06524_layer.jpg
ObservationSat1,image_06764_img.jpg,image_06764_layer.jpg
ObservationSat1,image_06875_img.jpg,image_06875_layer.jpg
ObservationSat1,image_07143_img.jpg,image_07143_layer.jpg
ObservationSat1,image_07219_img.jpg,image_07219_layer.jpg
ObservationSat1,image_07478_img.jpg,image_07478_layer.jpg
ObservationSat1,image_07572_img.jpg,image_07572_layer.jpg
ObservationSat1,image_07592_img.jpg,image_07592_layer.jpg
ObservationSat1,image_07800_img.jpg,image_07800_layer.jpg
ObservationSat1,image_07907_img.jpg,image_07907_layer.jpg
ObservationSat1,image_08380_img.jpg,image_08380_layer.jpg
ObservationSat1,image_08750_img.jpg,image_08750_layer.jpg
ObservationSat1,image_08902_img.jpg,image_08902_layer.jpg
ObservationSat1,image_09168_img.jpg,image_09168_layer.jpg
ObservationSat1,image_09314_img.jpg,image_09314_layer.jpg
ObservationSat1,image_09380_img.jpg,image_09380_layer.jpg
ObservationSat1,image_09756_img.jpg,image_09756_layer.jpg
Proba2,image_00759_img.jpg,image_00759_layer.jpg
Proba2,image_01189_img.jpg,image_01189_layer.jpg
Proba2,image_01241_img.jpg,image_01241_layer.jpg
Proba2,image_01383_img.jpg,image_01383_layer.jpg
Proba2,image_01667_img.jpg,image_01667_layer.jpg
Proba2,image_02148_img.jpg,image_02148_layer.jpg
Proba2,image_02525_img.jpg,image_02525_layer.jpg
Proba2,image_02932_img.jpg,image_02932_layer.jpg
Proba2,image_03044_img.jpg,image_03044_layer.jpg
Proba2,image_03270_img.jpg,image_03270_layer.jpg
Proba2,image_03346_img.jpg,image_03346_layer.jpg
Proba2,image_03420_img.jpg,image_03420_layer.jpg
Proba2,image_03478_img.jpg,image_03478_layer.jpg
